datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
13/01/2025 12:30:02,312,43,86,14,1,Monday,13/01/2025,12:30:02
13/01/2025 12:45:01,312,43,86,14,1,Monday,13/01/2025,12:45:01
13/01/2025 13:00:01,312,16,95,5,1,Monday,13/01/2025,13:00:01
13/01/2025 13:15:01,312,18,94,6,1,Monday,13/01/2025,13:15:01
13/01/2025 13:30:01,312,20,94,6,1,Monday,13/01/2025,13:30:01
13/01/2025 13:45:01,312,39,88,12,1,Monday,13/01/2025,13:45:01
13/01/2025 14:00:01,312,44,86,14,1,Monday,13/01/2025,14:00:01
13/01/2025 14:15:01,312,42,87,13,1,Monday,13/01/2025,14:15:01
13/01/2025 14:30:01,312,41,87,13,1,Monday,13/01/2025,14:30:01
13/01/2025 14:45:01,312,21,93,7,1,Monday,13/01/2025,14:45:01
13/01/2025 15:15:01,312,46,85,15,1,Monday,13/01/2025,15:15:01
13/01/2025 15:30:01,312,49,84,16,1,Monday,13/01/2025,15:30:01
13/01/2025 15:45:01,312,50,84,16,1,Monday,13/01/2025,15:45:01
13/01/2025 16:00:01,312,43,86,14,1,Monday,13/01/2025,16:00:01
13/01/2025 16:15:01,312,34,89,11,1,Monday,13/01/2025,16:15:01
13/01/2025 16:30:02,312,40,87,13,1,Monday,13/01/2025,16:30:02
13/01/2025 16:45:01,312,39,88,12,1,Monday,13/01/2025,16:45:01
13/01/2025 17:00:01,312,47,85,15,1,Monday,13/01/2025,17:00:01
13/01/2025 17:15:01,312,51,84,16,1,Monday,13/01/2025,17:15:01
13/01/2025 17:30:01,312,50,84,16,1,Monday,13/01/2025,17:30:01
13/01/2025 17:45:01,312,39,88,12,1,Monday,13/01/2025,17:45:01
13/01/2025 18:00:02,312,80,74,26,1,Monday,13/01/2025,18:00:02
13/01/2025 18:15:01,312,70,78,22,1,Monday,13/01/2025,18:15:01
13/01/2025 18:30:01,312,64,79,21,1,Monday,13/01/2025,18:30:01
13/01/2025 18:45:01,312,64,79,21,1,Monday,13/01/2025,18:45:01
13/01/2025 19:00:01,312,79,75,25,1,Monday,13/01/2025,19:00:01
13/01/2025 19:15:02,312,34,89,11,1,Monday,13/01/2025,19:15:02
13/01/2025 19:30:01,312,34,89,11,1,Monday,13/01/2025,19:30:01
13/01/2025 19:45:01,312,32,90,10,1,Monday,13/01/2025,19:45:01
13/01/2025 20:00:01,312,34,89,11,1,Monday,13/01/2025,20:00:01
13/01/2025 20:15:01,312,26,92,8,1,Monday,13/01/2025,20:15:01
13/01/2025 20:30:02,312,22,93,7,1,Monday,13/01/2025,20:30:02
13/01/2025 20:45:01,312,22,93,7,1,Monday,13/01/2025,20:45:01
13/01/2025 21:00:01,312,43,86,14,1,Monday,13/01/2025,21:00:01
13/01/2025 21:15:01,312,34,89,11,1,Monday,13/01/2025,21:15:01
13/01/2025 21:30:01,312,28,91,9,1,Monday,13/01/2025,21:30:01
13/01/2025 21:45:01,312,28,91,9,1,Monday,13/01/2025,21:45:01
13/01/2025 22:00:01,312,28,91,9,1,Monday,13/01/2025,22:00:01
13/01/2025 22:15:01,312,1,100,0,1,Monday,13/01/2025,22:15:01
13/01/2025 22:30:02,312,1,100,0,1,Monday,13/01/2025,22:30:02
13/01/2025 22:45:01,312,1,100,0,1,Monday,13/01/2025,22:45:01
13/01/2025 23:00:01,312,1,100,0,1,Monday,13/01/2025,23:00:01
13/01/2025 23:15:01,312,1,100,0,1,Monday,13/01/2025,23:15:01
13/01/2025 23:30:01,312,1,100,0,1,Monday,13/01/2025,23:30:01
13/01/2025 23:45:01,312,1,100,0,1,Monday,13/01/2025,23:45:01
14/01/2025 07:00:01,312,0,100,0,2,Tuesday,14/01/2025,07:00:01
14/01/2025 07:15:01,312,0,100,0,2,Tuesday,14/01/2025,07:15:01
14/01/2025 07:30:01,312,0,100,0,2,Tuesday,14/01/2025,07:30:01
14/01/2025 07:45:01,312,0,100,0,2,Tuesday,14/01/2025,07:45:01
14/01/2025 08:00:01,312,0,100,0,2,Tuesday,14/01/2025,08:00:01
14/01/2025 08:15:01,312,22,93,7,2,Tuesday,14/01/2025,08:15:01
14/01/2025 08:30:01,312,24,92,8,2,Tuesday,14/01/2025,08:30:01
14/01/2025 08:45:01,312,23,93,7,2,Tuesday,14/01/2025,08:45:01
14/01/2025 09:00:01,312,18,94,6,2,Tuesday,14/01/2025,09:00:01
14/01/2025 09:15:01,312,28,91,9,2,Tuesday,14/01/2025,09:15:01
14/01/2025 09:30:01,312,32,90,10,2,Tuesday,14/01/2025,09:30:01
14/01/2025 09:45:01,312,53,83,17,2,Tuesday,14/01/2025,09:45:01
14/01/2025 10:00:01,312,64,79,21,2,Tuesday,14/01/2025,10:00:01
14/01/2025 10:15:01,312,59,81,19,2,Tuesday,14/01/2025,10:15:01
14/01/2025 10:30:01,312,58,81,19,2,Tuesday,14/01/2025,10:30:01
14/01/2025 10:45:01,312,59,81,19,2,Tuesday,14/01/2025,10:45:01
14/01/2025 11:00:01,312,44,86,14,2,Tuesday,14/01/2025,11:00:01
14/01/2025 11:15:01,312,30,90,10,2,Tuesday,14/01/2025,11:15:01
14/01/2025 11:30:01,312,30,90,10,2,Tuesday,14/01/2025,11:30:01
14/01/2025 11:45:01,312,29,91,9,2,Tuesday,14/01/2025,11:45:01
14/01/2025 12:00:01,312,43,86,14,2,Tuesday,14/01/2025,12:00:01
14/01/2025 12:15:01,312,45,86,14,2,Tuesday,14/01/2025,12:15:01
14/01/2025 12:30:01,312,43,86,14,2,Tuesday,14/01/2025,12:30:01
14/01/2025 12:45:01,312,24,92,8,2,Tuesday,14/01/2025,12:45:01
14/01/2025 13:00:01,312,28,91,9,2,Tuesday,14/01/2025,13:00:01
14/01/2025 13:15:01,312,26,92,8,2,Tuesday,14/01/2025,13:15:01
14/01/2025 13:30:01,312,23,93,7,2,Tuesday,14/01/2025,13:30:01
14/01/2025 13:45:01,312,24,92,8,2,Tuesday,14/01/2025,13:45:01
14/01/2025 14:00:01,312,25,92,8,2,Tuesday,14/01/2025,14:00:01
14/01/2025 14:15:01,312,21,93,7,2,Tuesday,14/01/2025,14:15:01
14/01/2025 14:30:01,312,26,92,8,2,Tuesday,14/01/2025,14:30:01
14/01/2025 14:45:01,312,26,92,8,2,Tuesday,14/01/2025,14:45:01
14/01/2025 15:00:01,312,23,93,7,2,Tuesday,14/01/2025,15:00:01
14/01/2025 15:15:02,312,25,92,8,2,Tuesday,14/01/2025,15:15:02
14/01/2025 15:30:01,312,37,88,12,2,Tuesday,14/01/2025,15:30:01
14/01/2025 15:45:01,312,34,89,11,2,Tuesday,14/01/2025,15:45:01
14/01/2025 16:00:01,312,41,87,13,2,Tuesday,14/01/2025,16:00:01
14/01/2025 16:15:01,312,43,86,14,2,Tuesday,14/01/2025,16:15:01
14/01/2025 16:30:01,312,56,82,18,2,Tuesday,14/01/2025,16:30:01
14/01/2025 16:45:01,312,43,86,14,2,Tuesday,14/01/2025,16:45:01
14/01/2025 17:00:01,312,61,80,20,2,Tuesday,14/01/2025,17:00:01
14/01/2025 17:15:01,312,56,82,18,2,Tuesday,14/01/2025,17:15:01
14/01/2025 17:30:01,312,62,80,20,2,Tuesday,14/01/2025,17:30:01
14/01/2025 17:45:01,312,61,80,20,2,Tuesday,14/01/2025,17:45:01
14/01/2025 18:00:01,312,78,75,25,2,Tuesday,14/01/2025,18:00:01
14/01/2025 18:15:01,312,67,79,21,2,Tuesday,14/01/2025,18:15:01
14/01/2025 18:30:01,312,54,83,17,2,Tuesday,14/01/2025,18:30:01
14/01/2025 18:45:01,312,60,81,19,2,Tuesday,14/01/2025,18:45:01
14/01/2025 19:00:01,312,72,77,23,2,Tuesday,14/01/2025,19:00:01
